Year,Countries and Territories,Import Value (EUR Thousand),Export Value (EUR Thousand),Balance (Euro Million)
2025,Romania,15192.9309,64846.00089999999,49.65306999999999
2025,Russia,5533.4038,23731.517,18.198113199999998
2025,Saudi Arabia,538.3474000000001,92504.358,91.96601059999999
2025,Singapore,11401.852299999999,39467.516,28.065663700000005
2025,Slovakia,2735.8115,19202.222100000003,16.466410600000003
2025,Slovenia,5442.1758,18988.9258,13.54675
2025,South Africa,77243.9978,108569.278,31.32528020000001
2025,South Korea,5823.9349,35957.01,30.133075100000003
2025,Spain,413655.8037,448061.2775,34.40547380000004
2025,Sweden,41037.985499999995,269278.4811,228.24049559999997
2025,Switzerland,97928.77900000001,98809.917,0.8811379999999918
2025,Taiwan,1720.9782,15918.692,14.197713799999999
2025,Thailand,129555.66309999999,68165.74,-61.38992309999998
2025,Turkey,36721.8042,49698.392,12.9765878
2025,USA,572090.7934,1787571.238,1215.4804446
2026,Australia,3687.8957,17314.413,13.6265173
2026,Austria,10912.381399999998,4615.5625,-6.296818899999998
2026,Belgium,72639.1872,48320.651,-24.318536200000004
2026,Brazil,28902.5437,1841.2810000000002,-27.0612627
2026,Bulgaria,3514.6751000000004,4627.4429,1.1127677999999996
2026,Canada,16212.6216,25688.338999999996,9.475717399999995
2026,China,31862.3354,39720.146,7.8578106000000005
2026,Croatia,2697.8389,2813.0786,0.11523969999999963
2026,Cyprus,1146.0579,3766.8554999999997,2.6207976
2026,Czech Republic,2639.3812,9049.446199999998,6.410064999999999
2026,Denmark,20767.8145,25651.8492,4.8840347
2026,Estonia,86.55,586.4261,0.4998761
2026,Finland,4730.8283,3208.739,-1.5220893000000002
2026,France,118232.2058,183651.63390000002,65.41942810000002
2026,Germany,138251.4489,117624.5164,-20.626932499999995
2026,Great Britain,459586.3605,718558.4510000001,258.9720905000001
2026,Greece,7308.0018,8642.990300000001,1.3349885000000012
2026,Hungary,3255.7007,3229.6999,-0.0260007999999998
2026,India,17112.799,6541.955,-10.570844
2026,Italy,55838.2672,88967.5579,33.1292907
2026,Japan,822.3787000000001,21477.971999999998,20.655593299999996
2026,Latvia,4372.5372,6725.0895,2.3525523
2026,Lithuania,5036.516,1240.6445,-3.795871499999999
2026,Luxembourg,183.99720000000002,1043.2333,0.8592361000000001
2026,Malaysia,4650.1067,5906.871999999999,1.2567652999999992
2026,Malta,101.2115,1920.7535,1.819542
2026,Mexico,1613.8727,5248.8,3.6349273
2026,Netherlands,221207.5354,229281.6205,8.074085099999996
2026,Northern Ireland,309600.80079999997,349118.9689,39.51816810000001
2026,Norway,39093.6754,2728.52,-36.365155400000006
2026,Poland,68462.61349999999,36703.1975,-31.75941599999999
2026,Portugal,5962.0098,15576.0587,9.6140489
2026,Romania,2503.8456,8875.7773,6.371931699999999
2026,Russia,4884.6099,4987.239,0.1026290999999992
2026,Saudi Arabia,70.1223,12185.723999999998,12.1156017
